0,1,2,3,4,5,6
33927558,1372988,1395108,219793,269657,1437595,1224
3849560,209384578,11028818,3062783,2393984,4303385,31480
2360472,7672485,18313134,2710009,781956,5356757,1193
32620,2165000,4000548,29843763,95510,537587,92
41573,521594,421358,87651,10575105,172364,372
1258958,3932623,1620001,959637,700936,34333835,4687
3379,54078,16604,7929,7214,30520,107945
